"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Create user with duplicate email","","2026-05-13","passed","2026-05-13","","","",""
"","14","Delete user by non-existing id","","2026-05-13","passed","2026-05-13","","","",""
"","33","Get user by id","","2026-05-13","passed","2026-05-13","","","",""
"","524","Update user with PUT","","2026-05-13","passed","2026-05-13","","","",""
"","34","Delete user","","2026-05-13","passed","2026-05-13","","","",""
"","96","Create user with CorrelationId in SQS","","2026-05-13","passed","2026-05-13","","","",""
"","22","Create user","","2026-05-13","passed","2026-05-13","","","",""
"","617","Create user","","2026-05-13","passed","2026-05-13","","","",""
"","87","Update user with CorrelationId in SQS","","2026-05-13","passed","2026-05-13","","","",""
"","21","Create user","","2026-05-13","passed","2026-05-13","","","",""
"","614","Create user","","2026-05-13","passed","2026-05-13","","","",""
"","441","Update user with PUT","","2026-05-13","passed","2026-05-13","","","",""
"","49","Delete user","","2026-05-13","passed","2026-05-13","","","",""
"","76","Patch user with email","","2026-05-13","passed","2026-05-13","","","",""
"","59","Update user with PUT","","2026-05-13","passed","2026-05-13","","","",""
